"code.target","code.source","Relationship","adjustment","group.id"
19,19,"n:n","1988 to 1976",3
19,9410,"n:n","1988 to 1976",3
111,111,"1:1","1988 to 1976",NA
119,119,"1:1","1988 to 1976",NA
121,121,"1:1","1988 to 1976",NA
122,122,"1:1","1988 to 1976",NA
124,115,"1:1","1988 to 1976",NA
131,13,"n:1","1988 to 1976",1
139,13,"n:1","1988 to 1976",1
141,141,"1:1","1988 to 1976",NA
149,149,"1:1","1988 to 1976",NA
151,15,"n:1","1988 to 1976",2
152,15,"n:1","1988 to 1976",2
171,141,"1:n","1988 to 1976",3
171,9809,"n:n","1988 to 1976",3
172,142,"1:1","1988 to 1976",NA
173,149,"n:1","1988 to 1976",3
174,149,"n:1","1988 to 1976",3
175,149,"n:n","1988 to 1976",3
175,9801,"n:n","1988 to 1976",3
176,149,"n:n","1988 to 1976",3
176,9801,"n:n","1988 to 1976",3
179,149,"n:n","1988 to 1976",3
179,9801,"n:n","1988 to 1976",3
179,9809,"n:n","1988 to 1976",3
230,230,"1:1","1988 to 1976",NA
241,240,"n:1","1988 to 1976",12
242,240,"n:1","1988 to 1976",12
243,240,"n:1","1988 to 1976",12
251,251,"1:1","1988 to 1976",NA
253,59222,"n:1","1988 to 1976",14
344,344,"1:1","1988 to 1976",NA
353,3504,"n:1","1988 to 1976",16
354,3502,"n:n","1988 to 1976",16
354,3503,"n:n","1988 to 1976",16
354,3504,"n:n","1988 to 1976",16
355,3501,"1:1","1988 to 1976",NA
362,360,"n:n","1988 to 1976",3
362,372,"n:n","1988 to 1976",3
411,411,"1:1","1988 to 1976",NA
412,412,"1:1","1988 to 1976",NA
421,4211,"1:1","1988 to 1976",NA
422,4212,"1:1","1988 to 1976",NA
430,430,"1:1","1988 to 1976",NA
441,440,"n:1","1988 to 1976",3
449,440,"n:1","1988 to 1976",3
451,451,"1:1","1988 to 1976",NA
452,452,"1:1","1988 to 1976",NA
453,4592,"1:1","1988 to 1976",NA
461,4601,"1:1","1988 to 1976",NA
462,4602,"1:1","1988 to 1976",NA
482,482,"1:1","1988 to 1976",NA
483,483,"n:1","1988 to 1976",3
485,488,"n:n","1988 to 1976",3
485,730,"n:n","1988 to 1976",3
485,9809,"n:n","1988 to 1976",3
541,541,"1:1","1988 to 1976",NA
544,544,"1:1","1988 to 1976",NA
547,751,"n:n","1988 to 1976",3
547,5462,"1:n","1988 to 1976",3
547,5659,"n:n","1988 to 1976",3
547,9809,"n:n","1988 to 1976",3
573,573,"n:1","1988 to 1976",3
574,574,"1:1","1988 to 1976",NA
576,576,"n:1","1988 to 1976",3
581,583,"n:1","1988 to 1976",28
591,5851,"1:1","1988 to 1976",NA
592,5852,"1:1","1988 to 1976",NA
593,5853,"1:1","1988 to 1976",NA
616,616,"1:1","1988 to 1976",NA
621,582,"1:1","1988 to 1976",NA
712,7112,"1:1","1988 to 1976",NA
721,721,"1:1","1988 to 1976",NA
722,722,"1:1","1988 to 1976",NA
724,7232,"1:1","1988 to 1976",NA
725,8192,"1:1","1988 to 1976",NA
731,730,"n:1","1988 to 1976",3
732,730,"n:1","1988 to 1976",3
733,730,"n:1","1988 to 1976",3
739,730,"n:1","1988 to 1976",3
985,488,"n:n","1988 to 1976",3
985,9805,"1:n","1988 to 1976",3
986,8119,"n:n","1988 to 1976",24
986,9806,"1:n","1988 to 1976",24
986,29298,"n:n","1988 to 1976",24
1111,1111,"n:1","1988 to 1976",4
1112,1112,"n:1","1988 to 1976",5
1121,1111,"n:1","1988 to 1976",4
1122,1112,"n:1","1988 to 1976",5
1122,1122,"1:1","1988 to 1976",NA
1123,1123,"1:1","1988 to 1976",NA
1211,112,"n:1","1988 to 1976",6
1211,12111,"1:n","1988 to 1976",6
1211,12119,"1:n","1988 to 1976",6
1212,112,"n:1","1988 to 1976",6
1212,12121,"1:n","1988 to 1976",6
1212,12129,"1:n","1988 to 1976",6
1213,112,"n:1","1988 to 1976",6
1213,1213,"1:1","1988 to 1976",NA
1221,113,"n:1","1988 to 1976",7
1221,1221,"n:1","1988 to 1976",7
1222,113,"n:1","1988 to 1976",7
1222,1222,"n:1","1988 to 1976",7
1231,114,"n:1","1988 to 1976",8
1232,114,"n:1","1988 to 1976",8
1233,1181,"n:1","1988 to 1976",3
1234,114,"n:1","1988 to 1976",8
1235,114,"n:1","1988 to 1976",8
1236,1181,"n:1","1988 to 1976",3
1251,116,"n:1","1988 to 1976",9
1252,116,"n:1","1988 to 1976",9
1253,116,"n:1","1988 to 1976",9
1254,116,"n:1","1988 to 1976",9
1255,116,"n:1","1988 to 1976",9
1256,116,"n:1","1988 to 1976",9
1291,1189,"n:1","1988 to 1976",3
1292,1189,"n:1","1988 to 1976",3
1293,341,"n:1","1988 to 1976",10
1299,1189,"n:1","1988 to 1976",3
1611,121,"n:1","1988 to 1976",11
1612,121,"n:1","1988 to 1976",11
1619,121,"n:1","1988 to 1976",11
1681,129,"n:1","1988 to 1976",3
1689,129,"n:n","1988 to 1976",3
1689,149,"n:n","1988 to 1976",3
1689,1181,"n:n","1988 to 1976",3
2112,2112,"n:1","1988 to 1976",44
2114,2114,"1:1","1988 to 1976",NA
2116,2116,"1:1","1988 to 1976",NA
2117,2117,"1:1","1988 to 1976",NA
2121,21201,"n:1","1988 to 1976",45
2123,21201,"n:n","1988 to 1976",45
2123,21209,"n:n","1988 to 1976",45
2211,223,"n:n","1988 to 1976",3
2211,2249,"n:n","1988 to 1976",3
2212,223,"n:n","1988 to 1976",3
2212,2249,"n:n","1988 to 1976",3
2213,223,"n:n","1988 to 1976",3
2213,2249,"n:n","1988 to 1976",3
2221,2242,"n:n","1988 to 1976",3
2221,2249,"n:n","1988 to 1976",3
2222,2222,"1:1","1988 to 1976",NA
2222,2243,"n:n","1988 to 1976",3
2222,2249,"n:n","1988 to 1976",3
