"code.source","code.target","Relationship","adjustment","group.id"
13,13,"1:1","1976 to 1962",NA
15,15,"1:1","1976 to 1962",NA
19,19,"1:1","1976 to 1962",NA
111,11,"n:1","1976 to 1962",NA
112,112,"1:1","1976 to 1962",NA
113,113,"1:1","1976 to 1962",NA
114,114,"1:1","1976 to 1962",NA
115,115,"1:1","1976 to 1962",NA
116,116,"1:1","1976 to 1962",NA
119,11,"n:1","1976 to 1962",NA
121,12,"n:1","1976 to 1962",NA
121,121,"1:1","1976 to 1962",NA
122,12,"n:1","1976 to 1962",NA
129,129,"1:1","1976 to 1962",NA
141,14,"n:1","1976 to 1962",1
141,133,"1:n","1976 to 1962",1
141,3201,"n:n","1976 to 1962",1
142,134,"1:1","1976 to 1962",NA
149,14,"n:1","1976 to 1962",1
149,138,"n:1","1976 to 1962",1
223,223,"1:1","1976 to 1962",NA
230,230,"1:1","1976 to 1962",NA
240,240,"1:1","1976 to 1962",NA
251,250,"n:1","1976 to 1962",2
252,250,"n:1","1976 to 1962",2
341,311,"n:1","1976 to 1962",NA
342,311,"n:1","1976 to 1962",NA
343,311,"n:1","1976 to 1962",NA
344,311,"n:1","1976 to 1962",NA
360,313,"1:1","1976 to 1962",NA
371,3201,"n:1","1976 to 1962",1
372,3202,"1:1","1976 to 1962",NA
411,410,"n:1","1976 to 1962",NA
412,410,"n:1","1976 to 1962",NA
430,430,"1:1","1976 to 1962",NA
440,440,"1:1","1976 to 1962",NA
451,451,"1:1","1976 to 1962",NA
452,452,"1:1","1976 to 1962",NA
482,482,"1:1","1976 to 1962",NA
483,483,"1:1","1976 to 1962",NA
488,4881,"1:n","1976 to 1962",4
488,4882,"1:n","1976 to 1962",4
541,541,"1:1","1976 to 1962",NA
542,542,"1:1","1976 to 1962",NA
544,544,"1:1","1976 to 1962",NA
561,551,"1:1","1976 to 1962",NA
573,513,"1:n","1976 to 1962",8
573,5201,"n:n","1976 to 1962",8
574,514,"1:1","1976 to 1962",NA
576,5191,"1:n","1976 to 1962",9
576,5202,"1:n","1976 to 1962",9
582,532,"1:1","1976 to 1962",NA
583,533,"n:1","1976 to 1962",1
611,611,"1:1","1976 to 1962",NA
612,612,"1:1","1976 to 1962",NA
615,615,"1:1","1976 to 1962",NA
616,616,"1:1","1976 to 1962",NA
619,619,"1:1","1976 to 1962",NA
712,713,"1:n","1976 to 1962",11
712,9901,"1:n","1976 to 1962",11
721,721,"1:1","1976 to 1962",NA
722,722,"1:1","1976 to 1962",NA
730,730,"1:1","1976 to 1962",NA
741,741,"1:1","1976 to 1962",NA
742,742,"1:1","1976 to 1962",NA
751,751,"1:1","1976 to 1962",NA
913,913,"1:1","1976 to 1962",NA
1111,111,"n:1","1976 to 1962",NA
1112,111,"n:1","1976 to 1962",NA
1122,1122,"1:1","1976 to 1962",NA
1123,1123,"1:1","1976 to 1962",NA
1181,1181,"1:1","1976 to 1962",NA
1189,1189,"1:1","1976 to 1962",NA
1213,1210,"n:1","1976 to 1962",NA
1221,1221,"1:1","1976 to 1962",NA
